"Source:","/home/emifre/Git/rs-probe/rs-probe.kicad_sch"
"Date:","Wed 09 Mar 2022 02:24:04 PM CET"
"Tool:","Eeschema (6.0.2)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","87"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFPN","Manufacturer","Tolerance"
"","","C1","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C2","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C3","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C4","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C5","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C6","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C7","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C8","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C9","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C10","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C11","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C12","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C13","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C14","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C15","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C16","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C17","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C18","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C19","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C20","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C21","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C22","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C23","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","C24","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C25","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C26","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C27","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"","","C28","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"","","D1","LTST-C19HE1WT","Device:LED_RGBA","LED_SMD:LED_LiteOn_LTST-C19HE1WT","https://optoelectronics.liteon.com/upload/download/DS22-2008-0044/LTST-C19HE1WT.pdf","LTST-C19HE1WT or  ‎IN-S66TBTRGB‎","",""
"","","D2","20V","Device:D_Zener_Small","Diode_SMD:D_SOD-123F","~","RBS2MM40CTR","",""
"","","F1","Fuse_Small","Device:Fuse_Small","Fuse:Fuse_0603_1608Metric","https://www.bourns.com/docs/Product-Datasheets/mffsmf.pdf"," MF-FSMF050X-2","",""
"","","J1","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","connectors:USB_C_Receptacle_USB4105","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C167321 (lcsc.com)","",""
"","","J2","Castellated Vias","Connector:Conn_01x09_Female","connectors:1x9_1.5mm_castellated","~","","",""
"","","J3","Castellated Vias","Connector:Conn_01x02_Female","connectors:1x2_1.5mm_castellated","~","","",""
"","","J4","Castellated Vias","Connector:Conn_01x03_Female","connectors:1x3_1.5mm_castellated","~","","",""
"","","J5","tag-connect-swd","connectors:tag-connect-swd","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical","~","","",""
"","","J6","Conn_01x01","Connector_Generic:Conn_01x01","connectors:pad_1.5x2.0mm","~","","",""
"","","J7","Conn_01x01","Connector_Generic:Conn_01x01","connectors:pad_1.5x2.0mm","~","","",""
"","","J8","Conn_01x01","Connector_Generic:Conn_01x01","connectors:pad_1.5x2.0mm","~","","",""
"","","J9","Conn_01x01","Connector_Generic:Conn_01x01","connectors:pad_1.5x2.0mm","~","","",""
"","","Q1","NTZD3155C or CMLDM3757-TR-PBFREE or DMC2400UV-7 or DMG1016VQ-7","mosfet:NTZD3155C","sot:SOT-563","https://www.onsemi.com/pub/Collateral/NTZD3155C-D.PDF","","",""
"","","Q2","NTZD3155C or CMLDM3757-TR-PBFREE or DMC2400UV-7 or DMG1016VQ-7","mosfet:NTZD3155C","sot:SOT-563","https://www.onsemi.com/pub/Collateral/NTZD3155C-D.PDF","","",""
"","","R1","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R2","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R3","5.1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R4","5.1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R5","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R6","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R7","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R8","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R9","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R10","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R11","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R12","47k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R13","17.4k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R14","47k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R15","17.4k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R16","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R17","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R18","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R19","68k","Device:R_Small","passive:R_0402","~","","","1%"
