"Reference","Value","Footprint","MFPN","Tolerance","Qty"
"C1, C5, C7-C20, C22, C23, C28","0.1u","passive:C_0402","","25V, X7R","19"
"C2-C4, C6, C21, C24-C27, C29, C30","2.2u","passive:C_0402","","10V, X5R","11"
"D1","LTST-C19HE1WT","LED_SMD:LED_LiteOn_LTST-C19HE1WT","LTST-C19HE1WT or  ‎IN-S66TBTRGB‎","","1"
"D2, D3","20V","Diode_SMD:D_0402_1005Metric","SBA0520Q or similar","","2"
"F1","MF-FSMF050X-2","Fuse:Fuse_0603_1608Metric","MF-FSMF050X-2","","1"
"FB1","BLM15AX601SN1D","passive:R_0402","BLM15AX601SN1D","","1"
"J1","USB_C_Receptacle_USB2.0","connectors:USB_C_Receptacle_USB4105","C167321 (lcsc.com)","","1"
"Q1","NTZD3155C or CMLDM3757-TR-PBFREE or DMC2400UV-7 or DMG1016VQ-7","sot:SOT-563","NTZD3155C or CMLDM3757-TR-PBFREE or DMC2400UV-7 or DMG1016VQ-7","","1"
"R1, R13, R15, R28","17.4k","passive:R_0402","","1%","4"
"R2, R5-R7, R17","1k","passive:R_0402","","1%","5"
"R3, R4, R8, R20, R29","5.1k","passive:R_0402","","1%","5"
"R9, R11, R12, R14, R16, R19, R21, R27","47k","passive:R_0402","","1%","8"
"R10, R18, R22-R24, R26","1Meg","passive:R_0402","","1%","6"
"R25","15k","passive:R_0402","","1%","1"
"SW1","EVQ-P2002W","Button_Switch_SMD:SW_SPST_EVQP2","EVQ-P2002W","","1"
"U1, U2, U8-U11","74LVC1T45GM,115","Package_TO_SOT_SMD:SOT-886","74LVC1T45GM,115","","6"
"U3","W25Q8","son:USON-8-3x2mm-EP","W25Q80DVUXIE","","1"
"U4","NUF8401MNT4G","dfn:DFN-16-1EP_1.6x4mm_P0.5mm","NUF8401MNT4G","","1"
"U5","CortexDebug","connectors:PinHeader_2x05_FTSH-105-01-L-DV-K","FTSH-105-01-L-DV-K","","1"
"U6","RP2040","qfn:RP2040-QFN-56","RP2040","","1"
"U7","NUF2042XV6T1G","sot:SOT-563","NUF2042XV6T1G","","1"
"U12-U14","NCP133AMXADJTCG","Package_DFN_QFN:DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack","NCP133AMXADJTCG","","3"
"X1","12 MHz","crystals:Crystal_SMD_2520-4Pin_2.5x2.0mm"," ISM95-3251AH-12.000MHZ ","","1"
